train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:84801 source:(128, 18) loss:3.41587
step:85001 source:(128, 18) loss:3.46757
step:85201 source:(128, 18) loss:3.45672
step:85401 source:(128, 18) loss:3.4604
step:85601 source:(128, 18) loss:3.45335
step:85801 source:(128, 18) loss:3.50178
step:86001 source:(128, 18) loss:3.46199
epoch:110 test_bleu:44.946178793907166 template_bleu:41.37329161167145
epoch:110 train_bleu:45.495301485061646 template_bleu:41.29529595375061
step:86201 source:(128, 18) loss:3.42304
step:86401 source:(128, 18) loss:3.41337
step:86601 source:(128, 18) loss:3.41509
step:86801 source:(128, 18) loss:3.48225
step:87001 source:(128, 18) loss:3.43659
step:87201 source:(128, 18) loss:3.49256
step:87401 source:(128, 18) loss:3.46522
step:87601 source:(128, 18) loss:3.47616
step:87801 source:(128, 18) loss:3.4602
step:88001 source:(128, 18) loss:3.46332
step:88201 source:(128, 18) loss:3.44501
step:88401 source:(128, 18) loss:3.51634
step:88601 source:(128, 18) loss:3.51002
step:88801 source:(128, 18) loss:3.3851
step:89001 source:(128, 18) loss:3.47185
step:89201 source:(128, 18) loss:3.42846
step:89401 source:(128, 18) loss:3.42542
step:89601 source:(128, 18) loss:3.43328
step:89801 source:(128, 18) loss:3.43713
epoch:115 test_bleu:44.46932673454285 template_bleu:41.16658568382263
epoch:115 train_bleu:45.32893896102905 template_bleu:41.180071234703064
step:90001 source:(128, 18) loss:3.42536
step:90201 source:(128, 18) loss:3.39357
step:90401 source:(128, 18) loss:3.46878
step:90601 source:(128, 18) loss:3.37584
step:90801 source:(128, 18) loss:3.41666
step:91001 source:(128, 18) loss:3.45243
step:91201 source:(128, 18) loss:3.43715
step:91401 source:(128, 18) loss:3.43514
